mass,z,fov,mlt,age,log_k,teff,lum
11.8,0.01,0.025,1.2,14717310.0,-2.365615,25444.048496,17898.56
11.8,0.01,0.025,1.2,14932520.0,-2.375192,25319.089084,18162.15
11.8,0.01,0.025,1.2,15141780.0,-2.384811,25191.89479,18427.4
11.8,0.01,0.025,1.2,15346000.0,-2.394504,25060.467529,18694.22
11.8,0.01,0.025,1.2,15545760.0,-2.404301,24924.982261,18963.65
11.8,0.01,0.025,1.4,14255690.0,-2.345896,25701.980096,17360.75
11.8,0.01,0.025,1.4,14483120.0,-2.355354,25585.461337,17621.69
11.8,0.01,0.025,1.4,14704770.0,-2.364876,25466.523788,17885.21
11.8,0.01,0.025,1.4,14921450.0,-2.374482,25342.716432,18150.63
11.8,0.01,0.025,1.4,15133310.0,-2.384188,25214.442179,18418.38
11.8,0.01,0.025,1.4,15339520.0,-2.393953,25082.303053,18687.39
11.8,0.01,0.025,1.4,15540140.0,-2.403771,24947.288461,18957.95
11.8,0.01,0.025,1.4,15735920.0,-2.413668,24807.93839,19229.98
11.8,0.01,0.025,1.6,14189240.0,-2.343289,25743.86133,17293.65
11.8,0.01,0.025,1.6,14418530.0,-2.35274,25629.342675,17555.04
11.8,0.01,0.025,1.6,14642320.0,-2.36226,25510.674992,17818.29
11.8,0.01,0.025,1.6,14860970.0,-2.371866,25388.390264,18084.06
11.8,0.01,0.025,1.6,15074410.0,-2.381552,25261.913597,18351.91
11.8,0.01,0.025,1.6,15282770.0,-2.391324,25131.494183,18621.97
11.8,0.01,0.025,1.6,15486020.0,-2.40117,24996.690181,18893.47
11.8,0.01,0.025,1.6,15684080.0,-2.411096,24857.786115,19166.63
11.8,0.01,0.025,1.8,14121400.0,-2.340387,25786.155623,17217.08
11.8,0.01,0.025,1.8,14353480.0,-2.349852,25672.04105,17478.72
11.8,0.01,0.025,1.8,14579870.0,-2.35939,25553.975122,17742.44
11.8,0.01,0.025,1.8,14800250.0,-2.368978,25433.127114,18008.05
11.8,0.01,0.025,1.8,15015370.0,-2.378628,25308.016557,18275.47
11.8,0.01,0.025,1.8,15225550.0,-2.388382,25178.509246,18545.07
11.8,0.01,0.025,1.8,15430330.0,-2.398202,25045.801564,18816.61
11.8,0.01,0.025,1.8,15630160.0,-2.408108,24908.941242,19090.07
11.8,0.01,0.025,2.0,14172570.0,-2.342516,25769.507138,17279.81
11.8,0.01,0.025,2.0,14403960.0,-2.352016,25654.604933,17542.75
11.8,0.01,0.025,2.0,14629580.0,-2.361575,25535.769115,17807.68
11.8,0.01,0.025,2.0,14849230.0,-2.371192,25414.186316,18074.39
11.8,0.01,0.025,2.0,15063640.0,-2.380892,25288.388172,18343.25
11.8,0.01,0.025,2.0,15273240.0,-2.390687,25157.934206,18614.27
11.8,0.01,0.025,2.0,15477490.0,-2.400552,25024.254674,18887.36
11.8,0.01,0.025,2.0,15676700.0,-2.410493,24886.462878,19162.03
11.8,0.01,0.025,2.2,14178170.0,-2.342703,25772.159258,17287.66
11.8,0.01,0.025,2.2,14409860.0,-2.352219,25657.160084,17551.22
11.8,0.01,0.025,2.2,14635590.0,-2.361796,25539.066774,17816.92
11.8,0.01,0.025,2.2,14855810.0,-2.371441,25417.45712,18084.8
11.8,0.01,0.025,2.2,15071180.0,-2.381183,25290.857776,18354.84
11.8,0.01,0.025,2.2,15281220.0,-2.391007,25159.77875,18626.74
11.8,0.01,0.025,2.2,15485300.0,-2.400856,25026.5918,18900.11
11.8,0.01,0.025,2.2,15684510.0,-2.410802,24888.966769,19175.31
11.8,0.01,0.025,2.4,14269680.0,-2.346288,25735.269619,17390.66
11.8,0.01,0.025,2.4,14499780.0,-2.35585,25618.921033,17655.85
11.8,0.01,0.025,2.4,14724100.0,-2.365482,25498.623815,17923.04
11.8,0.01,0.025,2.4,14942450.0,-2.37516,25375.610349,18192.04
11.8,0.01,0.025,2.4,15155640.0,-2.384922,25248.294041,18463.17
11.8,0.01,0.025,2.4,15364030.0,-2.394782,25116.222908,18736.52
11.8,0.01,0.025,2.4,15567050.0,-2.404711,24980.929975,19011.9
11.8,0.01,0.025,2.4,15765060.0,-2.414708,24841.424769,19288.84
11.8,0.01,0.025,2.6,14225700.0,-2.345347,25673.968807,17322.13
11.8,0.01,0.025,2.6,14450750.0,-2.354691,25557.674412,17579.05
11.8,0.01,0.025,2.6,14670340.0,-2.364103,25438.120439,17838.16
11.8,0.01,0.025,2.6,14884590.0,-2.373584,25314.683479,18099.11
11.8,0.01,0.025,2.6,15093810.0,-2.38313,25187.382397,18362.04
11.8,0.01,0.025,2.6,15297980.0,-2.392759,25055.906529,18626.49
11.8,0.01,0.025,2.6,15497010.0,-2.402464,24920.448888,18892.57
11.8,0.01,0.025,2.8,14168540.0,-2.343667,25620.855322,17234.8
11.8,0.01,0.025,2.8,14388620.0,-2.352778,25505.048857,17483.06
