mass,z,fov,mlt,age,log_k,teff,lum
11.2,0.01,0.02,1.4,16160820.0,-2.375281,24516.0494,15328.1
11.2,0.01,0.02,1.4,16373300.0,-2.384081,24392.690036,15533.93
11.2,0.01,0.02,1.6,14488940.0,-2.314115,25306.708877,13897.39
11.2,0.01,0.02,1.6,14741960.0,-2.322554,25206.54259,14095.0
11.2,0.01,0.02,1.6,14988950.0,-2.331054,25103.236415,14294.31
11.2,0.01,0.02,1.6,15230360.0,-2.339611,24996.419967,14495.01
11.2,0.01,0.02,1.6,15465950.0,-2.348215,24886.223242,14696.79
11.2,0.01,0.02,1.6,15695540.0,-2.356861,24772.974418,14899.62
11.2,0.01,0.02,1.6,15919300.0,-2.365542,24657.141533,15103.4
11.2,0.01,0.02,1.6,16137900.0,-2.374286,24537.719714,15308.47
11.2,0.01,0.02,1.6,16351560.0,-2.383099,24414.401823,15514.71
11.2,0.01,0.02,1.8,14400700.0,-2.311269,25345.373145,13831.56
11.2,0.01,0.02,1.8,14656150.0,-2.319684,25246.415237,14028.58
11.2,0.01,0.02,1.8,14905900.0,-2.328174,25143.768044,14227.82
11.2,0.01,0.02,1.8,15149610.0,-2.336725,25037.869462,14428.36
11.2,0.01,0.02,1.8,15387080.0,-2.34531,24930.055514,14630.35
11.2,0.01,0.02,1.8,15619350.0,-2.353963,24817.970914,14833.61
11.2,0.01,0.02,1.8,15846470.0,-2.362681,24702.250746,15038.23
11.2,0.01,0.02,1.8,16067620.0,-2.371437,24583.36758,15243.57
11.2,0.01,0.02,1.8,16283000.0,-2.380227,24462.044883,15449.86
11.2,0.01,0.02,1.8,16493320.0,-2.389076,24336.988829,15657.07
11.2,0.01,0.02,2.0,14464750.0,-2.313336,25326.39546,13882.25
11.2,0.01,0.02,2.0,14719250.0,-2.321778,25226.661041,14080.43
11.2,0.01,0.02,2.0,14968040.0,-2.330306,25123.310136,14280.5
11.2,0.01,0.02,2.0,15210820.0,-2.338884,25016.678823,14481.86
11.2,0.01,0.02,2.0,15447390.0,-2.347495,24907.573658,14684.38
11.2,0.01,0.02,2.0,15678390.0,-2.356163,24795.037659,14888.22
11.2,0.01,0.02,2.0,15904180.0,-2.364893,24678.767862,15093.33
11.2,0.01,0.02,2.0,16124380.0,-2.373675,24559.112241,15299.47
11.2,0.01,0.02,2.0,16338890.0,-2.382497,24436.911702,15506.65
11.2,0.01,0.02,2.0,16548360.0,-2.391375,24311.071958,15714.72
11.2,0.01,0.02,2.2,14442550.0,-2.312621,25341.701941,13867.15
11.2,0.01,0.02,2.2,14698290.0,-2.321083,25242.007795,14065.49
11.2,0.01,0.02,2.2,14948080.0,-2.329627,25138.874739,14266.13
11.2,0.01,0.02,2.2,15191570.0,-2.338203,25033.267347,14467.9
11.2,0.01,0.02,2.2,15429330.0,-2.346822,24924.29029,14671.05
11.2,0.01,0.02,2.2,15661750.0,-2.355515,24811.601927,14875.53
11.2,0.01,0.02,2.2,15888440.0,-2.364245,24695.53539,15081.07
